accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF017TFI,hg19,"[1, 2]",bigWig,2316579135,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/09/689cf4ab-fabe-4206-9faa-18503a0d6600/ENCFF017TFI.bigWig,human,GM12878,RAD51
ENCFF868PVV,hg19,"[2, 3]",bigWig,2315739147,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/04/18/c37979e2-b568-4b32-9eb6-042aedb4f781/ENCFF868PVV.bigWig,human,HEK293,eGFP-ZNF184
ENCFF874HJK,hg19,"[1, 2]",bigWig,2312615539,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/05/12/4edcfbee-b025-4420-8ebe-6229af87cbaa/ENCFF874HJK.bigWig,human,MCF-7,MNT
ENCFF120KHN,hg19,"[1, 4]",bigWig,2310499989,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/13/fb35d02e-50b0-465a-841c-45c052538883/ENCFF120KHN.bigWig,human,K562,ILF3
ENCFF685CPY,hg19,"[1, 2]",bigWig,2309594977,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/01/c4d5592f-705e-4ad0-927e-a5ce0f21e7d1/ENCFF685CPY.bigWig,human,K562,LARP7
ENCFF433RDR,hg19,"[1, 2]",bigWig,2307439175,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/02/c0beffa7-29f7-4ad3-94f0-71493f8a2d9c/ENCFF433RDR.bigWig,human,HepG2,ARNT
ENCFF643JEJ,hg19,"[1, 2]",bigWig,2305743102,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/18/7ba0b9b2-b6c9-435e-a748-a77232826377/ENCFF643JEJ.bigWig,human,MCF-7,ZNF579
ENCFF603STH,hg19,"[1, 2]",bigWig,2302396906,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/18/90d8a42c-5717-4c1f-9650-6f326a8e0bcb/ENCFF603STH.bigWig,human,HEK293,eGFP-SCRT1
ENCFF408ICU,hg19,"[2, 3]",bigWig,2300339382,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/11/3581fed1-4d3c-4963-a28c-679ca1567258/ENCFF408ICU.bigWig,human,HepG2,CREB1
ENCFF232MAF,hg19,"[1, 2]",bigWig,2297407700,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/02/39bf1228-3985-4392-bea7-290a272c083d/ENCFF232MAF.bigWig,human,K562,ARID2
